ciudad,año,temp_media_anual,tipo
EL ALTO,2027,8.201125,Predicción
EL ALTO,2028,8.221925,Predicción
EL ALTO,2029,8.240433333333334,Predicción
EL ALTO,2030,8.258783333333334,Predicción
LA PAZ,1990,11.008333333333333,Histórico
LA PAZ,1991,10.825000000000001,Histórico
LA PAZ,1992,11.1,Histórico
LA PAZ,1993,11.291666666666666,Histórico
LA PAZ,1994,11.466666666666667,Histórico
LA PAZ,1995,12.008333333333333,Histórico
LA PAZ,1996,11.508333333333333,Histórico
LA PAZ,1997,12.1,Histórico
LA PAZ,1998,13.4,Histórico
LA PAZ,1999,12.316666666666668,Histórico
LA PAZ,2000,12.666666666666666,Histórico
LA PAZ,2001,12.516666666666666,Histórico
LA PAZ,2002,12.633333333333333,Histórico
LA PAZ,2003,12.633333333333333,Histórico
LA PAZ,2004,12.575000000000001,Histórico
LA PAZ,2005,12.325000000000001,Histórico
LA PAZ,2006,12.654166666666667,Histórico
LA PAZ,2007,12.716666666666667,Histórico
LA PAZ,2008,12.732111417889366,Histórico
LA PAZ,2009,13.133873207885307,Histórico
LA PAZ,2010,13.366666666666667,Histórico
LA PAZ,2011,12.958333333333334,Histórico
LA PAZ,2012,12.658333333333333,Histórico
LA PAZ,2013,12.933333333333332,Histórico
LA PAZ,2014,13.079166666666666,Histórico
LA PAZ,2015,12.75,Histórico
LA PAZ,2016,13.541666666666666,Histórico
LA PAZ,2017,13.091666666666667,Histórico
LA PAZ,2018,12.583333333333334,Histórico
LA PAZ,2019,13.066666666666668,Histórico
LA PAZ,2020,13.279999999999998,Histórico
LA PAZ,2021,12.975,Histórico
LA PAZ,2022,12.940734534282921,Histórico
LA PAZ,2023,13.545446516852941,Histórico
LA PAZ,2024,13.900126619155321,Histórico
LA PAZ,2025,13.017700652841782,Histórico
LA PAZ,2026,14.3869100883995,Histórico
LA PAZ,2026,13.4050625,Predicción
LA PAZ,2027,13.614849999999999,Predicción
LA PAZ,2028,13.693233333333334,Predicción
LA PAZ,2029,13.750766666666665,Predicción
LA PAZ,2030,13.810566666666666,Predicción
ORURO,1990,8.245833333333334,Histórico
ORURO,1991,7.833333333333333,Histórico
ORURO,1992,7.816666666666666,Histórico
ORURO,1993,8.358333333333333,Histórico
ORURO,1994,8.612499999999999,Histórico
ORURO,1995,8.737499999999999,Histórico
ORURO,1996,8.491666666666667,Histórico
ORURO,1997,8.433333333333334,Histórico
ORURO,1998,9.633333333333333,Histórico
ORURO,1999,8.975,Histórico
ORURO,2000,8.799999999999999,Histórico
